Time resolution is 1 ps
Simulation start!
Time = 7858000 ns, PN = 0, FSK_Out =  784
Time = 7889000 ns, PN = 0, FSK_Out = 1138
Time = 7919000 ns, PN = 0, FSK_Out = 1448
Time = 7950000 ns, PN = 0, FSK_Out = 1702
Time = 7980000 ns, PN = 0, FSK_Out = 1891
Time = 8011000 ns, PN = 0, FSK_Out = 2007
Time = 8041000 ns, PN = 0, FSK_Out = 2046
Time = 8072000 ns, PN = 0, FSK_Out = 2006
Time = 8103000 ns, PN = 0, FSK_Out = 1890
Time = 8133000 ns, PN = 0, FSK_Out = 1700
Time = 8164000 ns, PN = 0, FSK_Out = 1446
Time = 8194000 ns, PN = 0, FSK_Out = 1135
Time = 8225000 ns, PN = 0, FSK_Out =  782
Time = 8255000 ns, PN = 0, FSK_Out =  398
Time = 8286000 ns, PN = 0, FSK_Out = 4094
Time = 8316000 ns, PN = 0, FSK_Out = 3695
Time = 8347000 ns, PN = 0, FSK_Out = 3312
Time = 8377000 ns, PN = 0, FSK_Out = 2958
Time = 8408000 ns, PN = 0, FSK_Out = 2648
Time = 8438000 ns, PN = 0, FSK_Out = 2394
Time = 8469000 ns, PN = 0, FSK_Out = 2205
Time = 8499000 ns, PN = 0, FSK_Out = 2089
Time = 8530000 ns, PN = 0, FSK_Out = 2050
Time = 8560000 ns, PN = 0, FSK_Out = 2090
Time = 8591000 ns, PN = 0, FSK_Out = 2206
Time = 8621000 ns, PN = 0, FSK_Out = 2396
Time = 8652000 ns, PN = 0, FSK_Out = 2650
Time = 8682000 ns, PN = 0, FSK_Out = 2961
Time = 8713000 ns, PN = 0, FSK_Out = 3314
Time = 8743000 ns, PN = 0, FSK_Out = 3698
Time = 8774000 ns, PN = 0, FSK_Out =    2
Time = 8804000 ns, PN = 0, FSK_Out =  401
Time = 8835000 ns, PN = 0, FSK_Out =  784
Time = 8865000 ns, PN = 0, FSK_Out = 1138
Time = 8896000 ns, PN = 0, FSK_Out = 1448
Time = 8927000 ns, PN = 0, FSK_Out = 1702
Time = 8957000 ns, PN = 0, FSK_Out = 1891
Time = 8988000 ns, PN = 0, FSK_Out = 2007
Time = 9018000 ns, PN = 0, FSK_Out = 2046
Time = 9049000 ns, PN = 0, FSK_Out = 2006
Time = 9079000 ns, PN = 0, FSK_Out = 1890
Time = 9110000 ns, PN = 0, FSK_Out = 1700
Time = 9140000 ns, PN = 0, FSK_Out = 1446
Time = 9171000 ns, PN = 0, FSK_Out = 1135
Time = 9201000 ns, PN = 0, FSK_Out =  782
Time = 9232000 ns, PN = 0, FSK_Out =  398
Time = 9262000 ns, PN = 0, FSK_Out = 4094
Time = 9293000 ns, PN = 0, FSK_Out = 3695
Time = 9323000 ns, PN = 0, FSK_Out = 3312
Time = 9354000 ns, PN = 0, FSK_Out = 2958
Time = 9384000 ns, PN = 0, FSK_Out = 2648
Time = 9415000 ns, PN = 0, FSK_Out = 2394
Time = 9445000 ns, PN = 0, FSK_Out = 2205
Time = 9476000 ns, PN = 0, FSK_Out = 2089
Time = 9506000 ns, PN = 0, FSK_Out = 2050
Time = 9537000 ns, PN = 0, FSK_Out = 2090
Time = 9567000 ns, PN = 0, FSK_Out = 2206
Time = 9598000 ns, PN = 0, FSK_Out = 2396
Time = 9628000 ns, PN = 0, FSK_Out = 2650
Time = 9659000 ns, PN = 0, FSK_Out = 2961
Time = 9689000 ns, PN = 0, FSK_Out = 3314
Time = 9720000 ns, PN = 0, FSK_Out = 3698
Time = 9751000 ns, PN = 0, FSK_Out =    2
Time = 9781000 ns, PN = 0, FSK_Out =  401
Time = 9812000 ns, PN = 0, FSK_Out =  784
Time = 9842000 ns, PN = 0, FSK_Out = 1138
Time = 9873000 ns, PN = 0, FSK_Out = 1448
Time = 9903000 ns, PN = 0, FSK_Out = 1702
Time = 9934000 ns, PN = 0, FSK_Out = 1891
Time = 9964000 ns, PN = 0, FSK_Out = 2007
Time = 9995000 ns, PN = 0, FSK_Out = 2046
Time = 10025000 ns, PN = 0, FSK_Out = 2006
Time = 10056000 ns, PN = 0, FSK_Out = 1890
Time = 10086000 ns, PN = 0, FSK_Out = 1700
Time = 10117000 ns, PN = 0, FSK_Out = 1446
Time = 10147000 ns, PN = 0, FSK_Out = 1135
Time = 10178000 ns, PN = 0, FSK_Out =  782
Time = 10208000 ns, PN = 0, FSK_Out =  398
Time = 10239000 ns, PN = 0, FSK_Out = 4094
Time = 10269000 ns, PN = 0, FSK_Out = 3695
Time = 10300000 ns, PN = 0, FSK_Out = 3312
Time = 10330000 ns, PN = 0, FSK_Out = 2958
Time = 10361000 ns, PN = 0, FSK_Out = 2648
Time = 10391000 ns, PN = 0, FSK_Out = 2394
Time = 10422000 ns, PN = 0, FSK_Out = 2205
Time = 10452000 ns, PN = 0, FSK_Out = 2089
Time = 10483000 ns, PN = 0, FSK_Out = 2050
Time = 10513000 ns, PN = 0, FSK_Out = 2090
Time = 10544000 ns, PN = 0, FSK_Out = 2206
Time = 10574000 ns, PN = 0, FSK_Out = 2396
Time = 10605000 ns, PN = 0, FSK_Out = 2650
Time = 10636000 ns, PN = 0, FSK_Out = 2961
Time = 10666000 ns, PN = 0, FSK_Out = 3314
Time = 10697000 ns, PN = 0, FSK_Out = 3698
Time = 10727000 ns, PN = 0, FSK_Out =    2
Time = 10758000 ns, PN = 0, FSK_Out =  401
Time = 10788000 ns, PN = 0, FSK_Out =  784
Time = 10819000 ns, PN = 0, FSK_Out = 1138
Time = 10849000 ns, PN = 0, FSK_Out = 1448
Time = 10880000 ns, PN = 0, FSK_Out = 1702
Time = 10910000 ns, PN = 0, FSK_Out = 1891
Time = 10941000 ns, PN = 0, FSK_Out = 2007
Time = 10971000 ns, PN = 0, FSK_Out = 2046
Time = 11002000 ns, PN = 0, FSK_Out = 2006
Time = 11032000 ns, PN = 0, FSK_Out = 1890
Time = 11063000 ns, PN = 0, FSK_Out = 1700
Time = 11093000 ns, PN = 0, FSK_Out = 1446
Time = 11124000 ns, PN = 0, FSK_Out = 1135
Time = 11154000 ns, PN = 0, FSK_Out =  782
Time = 11185000 ns, PN = 0, FSK_Out =  398
Time = 11215000 ns, PN = 0, FSK_Out = 4094
Time = 11246000 ns, PN = 0, FSK_Out = 3695
Time = 11276000 ns, PN = 0, FSK_Out = 3312
Time = 11307000 ns, PN = 0, FSK_Out = 2958
Time = 11337000 ns, PN = 0, FSK_Out = 2648
Time = 11368000 ns, PN = 0, FSK_Out = 2394
Time = 11398000 ns, PN = 0, FSK_Out = 2205
Time = 11429000 ns, PN = 0, FSK_Out = 2089
Time = 11460000 ns, PN = 0, FSK_Out = 2050
Time = 11490000 ns, PN = 0, FSK_Out = 2090
Time = 11521000 ns, PN = 0, FSK_Out = 2206
Time = 11551000 ns, PN = 0, FSK_Out = 2396
Time = 11582000 ns, PN = 0, FSK_Out = 2650
Time = 11612000 ns, PN = 0, FSK_Out = 2961
Time = 11643000 ns, PN = 0, FSK_Out = 3314
Time = 11673000 ns, PN = 0, FSK_Out = 3698
Time = 11704000 ns, PN = 0, FSK_Out =    2
Time = 11734000 ns, PN = 0, FSK_Out =  401
Time = 11765000 ns, PN = 0, FSK_Out =  784
Time = 11795000 ns, PN = 0, FSK_Out = 1138
Time = 11826000 ns, PN = 0, FSK_Out = 1448
Time = 11856000 ns, PN = 0, FSK_Out = 1702
Time = 11887000 ns, PN = 0, FSK_Out = 1891
Time = 11917000 ns, PN = 0, FSK_Out = 2007
Time = 11948000 ns, PN = 0, FSK_Out = 2046
Time = 11978000 ns, PN = 0, FSK_Out = 2006
Time = 12009000 ns, PN = 0, FSK_Out = 1890
Time = 12039000 ns, PN = 0, FSK_Out = 1700
Time = 12070000 ns, PN = 0, FSK_Out = 1446
Time = 12100000 ns, PN = 0, FSK_Out = 1135
Time = 12131000 ns, PN = 0, FSK_Out =  782
Time = 12161000 ns, PN = 0, FSK_Out =  398
Time = 12192000 ns, PN = 0, FSK_Out = 4094
Time = 12222000 ns, PN = 0, FSK_Out = 3695
Time = 12253000 ns, PN = 0, FSK_Out = 3312
Time = 12283000 ns, PN = 0, FSK_Out = 2958
Time = 12314000 ns, PN = 0, FSK_Out = 2648
Time = 12345000 ns, PN = 0, FSK_Out = 2394
Time = 12375000 ns, PN = 0, FSK_Out = 2205
Time = 12406000 ns, PN = 0, FSK_Out = 2089
Time = 12436000 ns, PN = 0, FSK_Out = 2050
Time = 12467000 ns, PN = 0, FSK_Out = 2090
Time = 12497000 ns, PN = 0, FSK_Out = 2206
Time = 12528000 ns, PN = 0, FSK_Out = 2396
Time = 12558000 ns, PN = 0, FSK_Out = 2650
Time = 12589000 ns, PN = 0, FSK_Out = 2961
Time = 12619000 ns, PN = 0, FSK_Out = 3314
Time = 12650000 ns, PN = 0, FSK_Out = 3698
Time = 12680000 ns, PN = 0, FSK_Out =    2
Time = 12711000 ns, PN = 0, FSK_Out =  401
Time = 12741000 ns, PN = 0, FSK_Out =  784
Time = 12772000 ns, PN = 0, FSK_Out = 1138
Time = 12802000 ns, PN = 0, FSK_Out = 1448
Time = 12833000 ns, PN = 0, FSK_Out = 1702
Time = 12863000 ns, PN = 0, FSK_Out = 1891
Time = 12894000 ns, PN = 0, FSK_Out = 2007
Time = 12924000 ns, PN = 0, FSK_Out = 2046
Time = 12955000 ns, PN = 0, FSK_Out = 2006
Time = 12985000 ns, PN = 0, FSK_Out = 1890
Time = 13016000 ns, PN = 0, FSK_Out = 1700
Time = 13046000 ns, PN = 0, FSK_Out = 1446
Time = 13077000 ns, PN = 0, FSK_Out = 1135
Time = 13107000 ns, PN = 0, FSK_Out =  782
Time = 13138000 ns, PN = 0, FSK_Out =  398
